Genbank	Phylum
NC_020252	.
AAP74192	.
ACD91658	.
ACE88957	.
ADK12924	.
ADW82833	Pisuviricota
AEB96150	.
AEZ54148	.
AFZ85210	Pisuviricota
AIU98624	.
AND83002	.
ANE10465	.
ANE10467	.
AOG59236	Pisuviricota
APP91269	.
AQM32769	.
AWY10945	.
AXR76113	.
AXR76117	.
AZF86102	.
AZF86104	.
AZG06258	.
BAU20287	.
QDW81304	.
QDW81318	.
QDW81320	.
QIP68006	.
QIP68009	.
QKL20127	.
QMU26427	.
AAA46237	.
QBS55242	.
ACU32792	.
ADO40172	.
AFR34027	.
CAX33878	.
QGZ98417	.
AMT92139	.
AWY10943	.
YP_009141011	.
CAH03664	Duplornaviricota
YP_009507948	Duplornaviricota
YP_009665200	Duplornaviricota
YP_009667003	Duplornaviricota
AJD14830	Duplornaviricota
YP_009182332	Duplornaviricota
ADW08802	Duplornaviricota
YP_052858	Duplornaviricota
AYD75753	Duplornaviricota
2211445A	Duplornaviricota
QDB74975	Duplornaviricota
YP_003288763	Duplornaviricota
AOX47539	Duplornaviricota
BBB86809	Duplornaviricota
BAX04559	Duplornaviricota
AAB01579	Duplornaviricota
YP_009552725	Duplornaviricota
NP_043465	Duplornaviricota
NP_620728	Duplornaviricota
YP_009507833	Duplornaviricota
APR62628	Duplornaviricota
QIP68042	Duplornaviricota
QIP68046	Duplornaviricota
QIP68050	Duplornaviricota
QIP68061	Duplornaviricota
QIP68063	Duplornaviricota
QIP68065	Duplornaviricota
QIP68067	Duplornaviricota
QIP68070	Duplornaviricota
QIP68072	Duplornaviricota
QIP68074	Duplornaviricota
QIP68080	Duplornaviricota
ABC86751	Duplornaviricota
QGY72636	Duplornaviricota
AIC34744	Duplornaviricota
AMB17466	Duplornaviricota
AMB17467	Duplornaviricota
AMB17468	Duplornaviricota
AMB17469	Duplornaviricota
AMB17470	Duplornaviricota
AMB17475	Duplornaviricota
AOR51364	Duplornaviricota
AOX47549	Duplornaviricota
ATO91007	Duplornaviricota
ATO91013	Duplornaviricota
AUX13136	Duplornaviricota
AWA82248	Duplornaviricota
AXA52555	Duplornaviricota
AYD61657	Duplornaviricota
AZT88633	Duplornaviricota
AZT88635	Duplornaviricota
AZT88645	Duplornaviricota
AZT88647	Duplornaviricota
BAT62478	Duplornaviricota
BAT62492	Duplornaviricota
BBB86796	Duplornaviricota
BBZ90080	Duplornaviricota
BBZ90082	Duplornaviricota
CAJ34335	Duplornaviricota
NP_108651	Duplornaviricota
QBP37034	Duplornaviricota
QED42911	Duplornaviricota
QED42935	Duplornaviricota
QEM39133	Duplornaviricota
QEM39143	Duplornaviricota
QGX74228	Duplornaviricota
QGX74232	Duplornaviricota
QGX74234	Duplornaviricota
QGX74236	Duplornaviricota
QIJ25846	Duplornaviricota
QIJ70039	Duplornaviricota
QIJ70132	Duplornaviricota
QIP68023	Duplornaviricota
QIP68058	Duplornaviricota
QJA42331	Duplornaviricota
QJD26158	Duplornaviricota
QJD26160	Duplornaviricota
QJS39952	Duplornaviricota
QLJ83490	Duplornaviricota
QMU95572	Duplornaviricota
QMU95575	Duplornaviricota
YP_003541123	Duplornaviricota
YP_003934934	Duplornaviricota
YP_009179230	Duplornaviricota
YP_009182176	Duplornaviricota
YP_009182188	Duplornaviricota
YP_009229915	Duplornaviricota
YP_009230208	Duplornaviricota
YP_009256209	Duplornaviricota
YP_009552275	Duplornaviricota
YP_009552726	Duplornaviricota
YP_122352	Duplornaviricota
NP_047560	Duplornaviricota
NP_898833	Duplornaviricota
YP_009508251	Duplornaviricota
YP_007761589	Duplornaviricota
YP_009004156	Duplornaviricota
YP_009665165	Duplornaviricota
Q698V5	Duplornaviricota
YP_052942	Duplornaviricota
AIU36219	Duplornaviricota
ASU43982	Duplornaviricota
QIQ51253	Duplornaviricota
ADF59186	Duplornaviricota
ALJ83066	Duplornaviricota
ANN82197	Duplornaviricota
APQ41753	Duplornaviricota
APB61168	Duplornaviricota
APG79118	Duplornaviricota
AVP49983	Duplornaviricota
NP_694468	Duplornaviricota
NP_149135	Duplornaviricota
3JA4_A	Duplornaviricota
YP_009002592	Duplornaviricota
ADH10220	Duplornaviricota
AHJ14783	Duplornaviricota
ABB17221	Duplornaviricota
ARS43578	Duplornaviricota
AWY11118	Duplornaviricota
BBU41764	Duplornaviricota
YP_009111328	Duplornaviricota
YP_009104379	Duplornaviricota
AOS58302	Duplornaviricota
NP_619776	Duplornaviricota
YP_392478	Duplornaviricota
YP_001936004	Duplornaviricota
QGY64121	Duplornaviricota
AEC32894	Duplornaviricota
QIE06438	Duplornaviricota
YP_009551647	Duplornaviricota
YP_392501	Duplornaviricota
AFA28393	Duplornaviricota
AJD09447	Duplornaviricota
ALV85428	Duplornaviricota
AMO03248	Duplornaviricota
APM87003	Duplornaviricota
AVM87459	Duplornaviricota
AVM87460	Duplornaviricota
AVM87465	Duplornaviricota
AVM87470	Duplornaviricota
QED21522	Duplornaviricota
QGA70899	Duplornaviricota
QIJ70113	Duplornaviricota
YP_003934919	Duplornaviricota
YP_005255241	Duplornaviricota
YP_009072449	Duplornaviricota
YP_009158917	Duplornaviricota
YP_009551617	Duplornaviricota
AFR52693	Duplornaviricota
ACM91122	Duplornaviricota
AAF63300	Duplornaviricota
QDH88539	Duplornaviricota
NP_048059	Kitrinoviricota
NP_049235	Kitrinoviricota
AMQ23297	Kitrinoviricota
AZF86092	Kitrinoviricota
QDW81308	Kitrinoviricota
QED42932	Kitrinoviricota
QED42939	Kitrinoviricota
AQT40964	Kitrinoviricota
ABU98319	Kitrinoviricota
YP_004464929	Kitrinoviricota
AVM87261	Kitrinoviricota
AVM87265	Kitrinoviricota
AVM87268	Kitrinoviricota
AVM87270	Kitrinoviricota
AVM87557	Kitrinoviricota
AVM87559	Kitrinoviricota
QJI53774	Kitrinoviricota
QJI53776	Kitrinoviricota
QJI53778	Kitrinoviricota
QJI53785	Kitrinoviricota
QJI53787	Kitrinoviricota
QKQ15122	Kitrinoviricota
YP_009553211	Kitrinoviricota
YP_009553650	Kitrinoviricota
ANO53541	Kitrinoviricota
AVM87614	Kitrinoviricota
YP_009104375	Kitrinoviricota
ADW09018	Kitrinoviricota
AAR89466	Kitrinoviricota
YP_054423	Kitrinoviricota
AKE49128	Kitrinoviricota
ALU66005	Kitrinoviricota
ASJ26558	Kitrinoviricota
NP_620043	Kitrinoviricota
AGU69238	Kitrinoviricota
BAQ08217	Kitrinoviricota
YP_009407919	Kitrinoviricota
YP_009506336	Kitrinoviricota
AAM96221	Kitrinoviricota
AVN99305	Kitrinoviricota
AWY94210	Kitrinoviricota
AXI82133	Kitrinoviricota
